Price,Bedrooms,Bathrooms,SquareFeet,YearBuilt,GarageSpaces,LotSize,ZipCode,CrimeRate,SchoolRating,HouseAge,PricePerSqFt,SizeCategory
233883,1,2.0,3122,1958,2.0,1.48,16910,31.97,9.0,66,74.91447789878283,Large
418394,3,3.4,2436,1947,2.0,1.2,67713,98.84,5.0,77,171.7545155993432,Medium
212547,4,1.8,3915,1940,1.0,0.62,56857,48.54,6.0,84,54.2904214559387,Large
659042,1,3.0,4890,1912,0.0,0.25,44964,12.24,2.0,112,134.77341513292433,Extra Large
851102,4,3.3,3804,2006,1.0,0.26,95667,72.52,3.0,18,223.73869610935856,Large
862002,4,2.8,1129,1944,0.0,1.8,35227,32.3,3.0,80,763.5093002657219,Small
242483,3,2.4,4440,1988,2.0,0.46,15978,99.71,9.0,36,54.61328828828829,Large
758271,2,2.2,4694,1952,2.0,0.71,97527,97.98,7.0,72,161.54047720494248,Extra Large
314835,5,2.0,4907,1941,3.0,0.53,27153,65.61,8.0,83,64.16038312614633,Extra Large
501896,5,3.8,2141,1999,0.0,0.77,69765,12.98,9.0,25,234.42129845866418,Medium
